"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
"AKRON S.A.";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"1";"0";"1";"6";"1652200";"73";"0";"0"
"ALBIERO HNOS SRL";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1122000";"3273";"72";"62,74"
"ALBIERO SISTEMAS DE SEGURIDAD EN FORMACI";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"252000";"117";"0";"0"
"ALCATEL DE ARGENTINA S.A.";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"5299";"2";"63,64"
"ALDEA SOLUTIONS INC.";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"2";"3";"0";"8372";"0";"0"
"ALDECOSTA SA";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"991200";"637";"2";"35,6"
"ALE ARGENTINA S.R.L.";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"768000";"3538";"30";"17,48"
"ALEJANDRO JOSE VISOKOLSKIS";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"512400";"2076";"14";"24,68"
"ALEXANDER FLEMING S A";"0";"1";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"1";"0";"0";"2";"4";"1515000";"1340";"88";"42,78"
"ALFA SERVICIOS INTEGRALES";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"336000";"110";"5";"9,59"
"ALFAGOMMA DE ARGENTINA S.R.L";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"260400";"2224";"6";"5,52"
"ALFAVINIL SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"512400";"1729";"9";"44,94"
"ALFREDO IGNACIO CORRAL SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"722400";"2184";"32";"7,59"
"ALGABO S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"2";"2";"708000";"5653";"8";"53,06"
"ALICAN SA";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"612000";"618";"1";"22,97"
"ALIMENTOS MAGROS SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"260400";"154";"0";"0"
"ALIMENTOS MODERNOS SA";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"0";"0";"1";"4";"6825120";"123";"5";"26,34"
"ALIMENTOS REFRIGERADOS SA";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"1267800";"1098";"23";"47,62"
"ALKANOS SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"910";"0";"0"
"ALL PACK S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"456000";"389";"0";"0"
"ALLANMAR INTERNATIONAL COMPANY S.R.L.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"493";"0";"0"
"ALLARIA S. A";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1272000";"7166";"48";"98,88"
"ALLENDE Y BREA SOCIEDAD CIVIL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"504000";"6943";"3";"1,61"
"ALLFLEX ARGENTINA SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"684000";"5220";"30";"58,39"
"ALLIANCE ONE TOBACCO ARG S.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"336000";"560";"6";"18,2"
"ALPEK POLYESTER ARGENTINA S. A.";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"2184000";"1440";"167";"47,96"
"ALPHA 2000 SOLUCIONES INFORMAT";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2442";"2";"23,12"
"ALPHA MEDIA S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"660000";"1762";"2";"18,57"
"ALS ARGENTINA S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"671";"6";"31"
"ALTA DENSIDAD S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"948000";"887";"3";"129,91"
"ALTA ROTACION S.R.L";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"732000";"795";"0";"0"
"ALTEC SAN LUIS SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"459600";"2415";"4";"18,54"
"ALTERPLAN SOLUTIONS S.R.L.";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"2";"2";"3756000";"1216";"218";"102,48"
"ALTRI S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"126000";"1040";"7";"17,21"
"ALUAR ALUMINIO ARGENTINOS.A.I.C";"0";"0";"1";"0";"0";"5";"6";"2";"0";"1";"0";"1";"0";"0";"0";"4";"14";"9537600";"2020";"528";"163,96"
"ALUM TRUCK SA";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"96600";"31";"0";"0"
"ALUWIND S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"260400";"2400";"4";"12,06"
"ALYSER S.A.";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"610800";"0";"0";"0"
"AM SEGURIDAD EMPRESARIA S.R.L";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"634680";"3762";"150";"69,02"
"AM WIRELESS URUGUAY S.A.";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"930";"0";"0"
"AMAGGI ARGENTINA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"882000";"917";"2";"7,85"
"AMANCAY SA INDUSTRIAL COMERCIAL AGOP FIN";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"744000";"157";"3";"40,6"
"AMARILLA GAS S A";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1386000";"2713";"208";"48,7"
"AMBIENTE S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"201600";"577";"10";"10,98"
"AMC NETWORKS ARGENTINA SCA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"7680000";"2932";"9";"25,9"
"AMCOR RIGID PACKAGING DEARGENTINA S.A.";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1759200";"1056";"1";"0,87"
"AMECOM S.R.L";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2520000";"3591";"24";"16,65"
"AMERICA CONSULTING GROUP S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"5750";"5";"61,36"
"AMERICA TV SA";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"4590";"0";"0"
"AMERICAN EXPRESS ARG SA";"0";"1";"0";"0";"0";"2";"1";"1";"1";"0";"0";"1";"0";"0";"0";"4";"5";"1248000";"2644";"180";"131,64"
